alert_episodes,false_alert_episodes,false_alerts_per_hour,events,warned_events,event_recall,median_lead_s,pct_events_lead_ge_2s,pct_events_lead_ge_5s,horizon_s,variant,feature_set,test_session,model,threshold
0,0,0.0,0,0,,,,,5,recorded_route_only,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.30000000000000004
0,0,0.0,0,0,,,,,5,recorded_route_only,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.30000000000000004
0,0,0.0,25,0,0.0,,,,5,all_sessions,engineering_baseline,S1_LOW_SOC_STRESS,AlwaysNegative,0.5
0,0,0.0,25,0,0.0,,,,5,all_sessions,engineering_baseline,S1_LOW_SOC_STRESS,PersistenceH0,0.5
41,23,38.547486033519554,25,18,0.72,2.5,0.6111111111111112,0.3333333333333333,5,all_sessions,engineering_baseline,S1_LOW_SOC_STRESS,RuleGraph,0.5
29,13,21.787709497206702,25,16,0.64,1.0,0.25,0.125,5,all_sessions,engineering_baseline,S1_LOW_SOC_STRESS,RuleEuclidean,0.5
0,0,0.0,0,0,,,,,5,all_sessions,engineering_baseline,S2_HIGH_SOC_CONTROL,AlwaysNegative,0.5
0,0,0.0,0,0,,,,,5,all_sessions,engineering_baseline,S2_HIGH_SOC_CONTROL,PersistenceH0,0.5
2,2,18.6046511627907,0,0,,,,,5,all_sessions,engineering_baseline,S2_HIGH_SOC_CONTROL,RuleGraph,0.5
1,1,9.30232558139535,0,0,,,,,5,all_sessions,engineering_baseline,S2_HIGH_SOC_CONTROL,RuleEuclidean,0.5
0,0,0.0,10,0,0.0,,,,5,all_sessions,engineering_baseline,S3_MEDIUM_SOC_WHOLETESTING,AlwaysNegative,0.5
0,0,0.0,10,0,0.0,,,,5,all_sessions,engineering_baseline,S3_MEDIUM_SOC_WHOLETESTING,PersistenceH0,0.5
32,22,68.33477135461605,10,10,1.0,1.0,0.3,0.0,5,all_sessions,engineering_baseline,S3_MEDIUM_SOC_WHOLETESTING,RuleGraph,0.5
32,23,71.44089732528042,10,9,0.9,1.0,0.2222222222222222,0.1111111111111111,5,all_sessions,engineering_baseline,S3_MEDIUM_SOC_WHOLETESTING,RuleEuclidean,0.5
