case_id,automatic_case_type,session,case_time,mission_leg_id,temporal_segment_id
CASE_084,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:20:25,S4_SAFETY_RICH_NAVEEN12_L38,1.0
CASE_085,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 17:07:31,S1_LOW_SOC_STRESS_L565,94.0
CASE_086,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 15:37:14,S1_LOW_SOC_STRESS_L166,28.0
CASE_087,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 17:12:35,S1_LOW_SOC_STRESS_L581,96.0
CASE_088,negative_control,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:53:38,S4_SAFETY_RICH_NAVEEN12_L16,1.0
CASE_089,negative_control,S2_HIGH_SOC_CONTROL,2026-06-18 11:20:15,S2_HIGH_SOC_CONTROL_L18,2.0
CASE_090,negative_control,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:40:56,S4_SAFETY_RICH_NAVEEN12_L8,1.0
CASE_091,negative_control,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:39:14,S3_MEDIUM_SOC_WHOLETESTING_L60,1.0
CASE_092,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 17:04:00,S1_LOW_SOC_STRESS_L551,92.0
CASE_093,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:31:23,S4_SAFETY_RICH_NAVEEN12_L51,1.0
CASE_094,negative_control,S1_LOW_SOC_STRESS,2026-06-22 17:14:26,S1_LOW_SOC_STRESS_L581,96.0
CASE_095,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:47:40,S1_LOW_SOC_STRESS_L518,86.0
CASE_096,negative_control,S5_REAL_TMS_JULY10,2026-07-10 10:26:25,S5_REAL_TMS_JULY10_L127,9.0
CASE_097,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:19:51,S4_SAFETY_RICH_NAVEEN12_L38,1.0
